id,name,longitude,latitude,live,avg,cityID,stateID
site_5120,"Colaba, Mumbai - MPCB",72.820000,18.910000,True,44.0,Mumbai,Maharashtra
site_5104,"Kurla, Mumbai - MPCB",72.8888,19.0863,True,102.0,Mumbai,Maharashtra
site_5112,"Powai, Mumbai - MPCB",72.915056,19.137500,True,59.0,Mumbai,Maharashtra
site_5119,"Sion, Mumbai - MPCB",72.874600,19.047000,False,,Mumbai,Maharashtra
site_5102,"Vasai West, Mumbai - MPCB",72.820400,19.383200,False,,Mumbai,Maharashtra
site_5106,"Vile Parle West, Mumbai - MPCB",72.83622,19.10861,True,93.0,Mumbai,Maharashtra
site_5115,"Worli, Mumbai - MPCB",72.8128113,18.9936162,True,91.0,Mumbai,Maharashtra
site_261,"Airoli, Navi Mumbai - MPCB",72.9986,19.1494,False,,Navi Mumbai,Maharashtra
site_5114,"Mahape, Navi Mumbai - MPCB",73.008978,19.1135051,True,92.0,Navi Mumbai,Maharashtra
site_5103,"Nerul, Navi Mumbai - MPCB",73.016620,19.008751,False,,Navi Mumbai,Maharashtra
site_304,"Gangapur Road, Nashik - MPCB",73.7762427,20.0073285,True,87.0,Nashik,Maharashtra
site_198,"More Chowk Waluj, Aurangabad - MPCB",75.244448,19.8389439,True,49.0,Aurangabad,Maharashtra
site_302,"Solapur, Solapur - MPCB",75.9063906,17.6599188,True,92.0,Solapur,Maharashtra
site_5118,"Khadakpada, Kalyan - MPCB",73.142019,19.25292,True,114.0,Kalyan,Maharashtra
site_305,"Pimpleshwar Mandir, Thane - MPCB",72.9585188,19.192056,True,95.0,Thane,Maharashtra
site_292,"Karve Road, Pune - MPCB",73.8165527,18.5011743,True,44.0,Pune,Maharashtra
site_5082,"Indirapuram, Ghaziabad - UPPCB",77.358075,28.646233,True,201.0,Ghaziabad,Uttar Pradesh
site_5083,"Loni, Ghaziabad - UPPCB",77.278792,28.757294,True,250.0,Ghaziabad,Uttar Pradesh
site_5081,"Sanjay Nagar, Ghaziabad - UPPCB",77.453839,28.685382,True,226.0,Ghaziabad,Uttar Pradesh
site_144,"Vasundhara, Ghaziabad - UPPCB",77.3572563,28.6603346,True,204.0,Ghaziabad,Uttar Pradesh
site_276,"Nehru Nagar, Kanpur - UPPCB",80.3229863,26.4703136,True,140.0,Kanpur,Uttar Pradesh
site_1541,"Knowledge Park - III, Greater Noida - UPPCB",77.482000,28.47272,True,163.0,Greater Noida,Uttar Pradesh
site_5121,"Knowledge Park - V, Greater Noida - UPPCB",77.453663,28.557054,True,170.0,Greater Noida,Uttar Pradesh
site_1542,"Yamunapuram, Bulandshahr - UPPCB",77.849831,28.406963,True,207.0,Bulandshahr,Uttar Pradesh
site_5258,"Ganga Nagar, Meerut - UPPCB",77.7590354,28.999264,True,184.0,Meerut,Uttar Pradesh
site_5109,"Jai Bhim Nagar, Meerut - UPPCB",77.7622941,28.9535882,False,,Meerut,Uttar Pradesh
site_5257,"Pallavpuram Phase 2, Meerut - UPPCB",77.709723,29.063510,False,,Meerut,Uttar Pradesh
site_272,"Central School, Lucknow - CPCB",80.9302753,26.8821003,True,55.0,Lucknow,Uttar Pradesh
site_5128,"Gomti Nagar, Lucknow - UPPCB",81.005119,26.868120,False,,Lucknow,Uttar Pradesh
site_277,"Lalbagh, Lucknow - CPCB",80.9365541,26.8458805,True,186.0,Lucknow,Uttar Pradesh
site_297,"Talkatora District Industries Center, Lucknow - CPCB",80.8917361,26.83399722,True,210.0,Lucknow,Uttar Pradesh
site_1550,"New Mandi, Muzaffarnagar - UPPCB",77.7194031,29.4723508,True,200.0,Muzaffarnagar,Uttar Pradesh
site_153,"Sector - 125, Noida - UPPCB",77.3231257,28.5447608,True,174.0,Noida,Uttar Pradesh
site_111,"Sector - 62, Noida - IMD",77.3577104,28.6245479,False,,Noida,Uttar Pradesh
site_5123,"Sector-1, Noida - UPPCB",77.3101,28.5898,True,202.0,Noida,Uttar Pradesh
site_5122,"Sector-116, Noida - UPPCB",77.393848,28.569230,True,174.0,Noida,Uttar Pradesh
site_307,"Sanjay Palace, Agra - UPPCB",78.00598056,27.19865833,True,141.0,Agra,Uttar Pradesh
site_273,"Ardhali Bazar, Varanasi - UPPCB",82.9083074,25.3505986,True,122.0,Varanasi,Uttar Pradesh
site_1398,"Lajpat Nagar, Moradabad - UPPCB",78.7213009,28.825341,False,,Moradabad,Uttar Pradesh
site_5023,"Anand Vihar, Hapur - UPPCB",77.749675,28.725645,True,198.0,Hapur,Uttar Pradesh
site_308,"Maninagar, Ahmedabad - GPCB",72.591912,23.002657,True,61.0,Ahmedabad,Gujarat
site_5071,"Phase-1 GIDC, Vapi - GPCB",72.918013,20.362421,True,100.0,Vapi,Gujarat
site_5067,"Phase-4 GIDC, Vatva - GPCB",72.643500,22.969611,True,64.0,Vatva,Gujarat
site_5065,"GIDC, Ankleshwar - GPCB",73.010555,21.613267,True,112.0,Ankleshwar,Gujarat
site_5274,"GIDC, Nandesari - Nandesari Ind. Association",73.097923,22.410802,True,176.0,Nandesari,Gujarat
site_5066,"Sector-10, Gandhinagar - GPCB",72.654328,23.221714,True,66.0,Gandhinagar,Gujarat
site_5238,"Ballygunge, Kolkata - WBPCB",88.3638022,22.5367507,True,66.0,Kolkata,West Bengal
